,timedelta
11835,29
11839,29
11841,7
11843,12
11845,54
11848,25
11849,13
11851,48
11852,11
11854,12
11865,49
11869,55
11872,2
11873,13
11876,13
11878,26
11882,1
11883,9
11884,2
11885,46
11886,39
11889,19
11892,24
11895,27
11900,44
11901,11
11903,21
11906,52
11907,41
11908,28
11912,30
11913,35
11920,38
11923,36
11924,23
11929,20
11931,14
11933,32
11934,12
11935,50
11941,27
11943,9
11948,40
11949,58
11950,11
11951,18
11955,51
11957,41
11958,34
11959,56
11960,12
11964,54
11965,1
11966,23
11968,19
11970,5
11971,28
11972,24
11975,15
11983,34
11987,44
11988,52
11989,42
11990,36
11992,22
11997,5
12002,34
12003,30
12005,33
12007,54
12008,58
12010,30
12013,56
12022,52
12023,31
12024,30
12032,5
12037,43
12041,14
12046,4
12047,39
12048,7
12049,55
12053,30
12055,2
12057,59
12058,38
12059,60
12063,26
12072,25
12075,23
12080,27
12092,21
12103,59
12108,23
12109,56
12113,14
12117,41
12120,58
12125,12
12128,52
12130,37
12140,53
12143,0
12144,2
12145,47
12150,19
12151,51
12152,27
12153,10
12156,7
12159,25
12160,47
12165,2
12167,17
12168,11
12169,28
12176,50
12180,19
12181,52
12186,27
12187,3
12188,42
12189,16
12192,4
12196,55
12198,18
12205,1
12206,16
12208,7
12209,4
12210,8
12211,16
12212,9
12213,36
12222,18
12225,13
12227,0
12228,25
12229,5
12234,20
12235,36
12238,38
12239,16
12242,52
12243,49
12246,5
12248,18
12252,20
12253,23
12255,4
12257,26
12260,11
12262,59
12263,28
12266,21
12268,55
12270,2
12271,56
12273,44
12276,46
12284,15
12285,42
12287,9
12288,49
12289,17
12290,16
12291,57
12292,51
12294,19
12297,25
12299,48
12304,25
12306,2
12311,25
12317,36
12320,48
12321,18
12322,12
12324,18
12325,49
12326,17
12327,40
12328,21
12334,17
12335,7
12337,41
12340,55
12341,7
12344,19
12345,52
12347,38
12349,31
12351,40
12354,58
12355,12
12357,46
12358,14
12359,46
12361,25
12365,2
12366,43
12367,24
12369,19
12371,14
12375,56
12379,16
12381,34
12383,12
12385,25
12389,7
12391,20
12392,30
12396,57
12399,6
12402,18
12406,13
12408,49
12411,37
12412,25
12414,29
12419,28
12420,11
12421,5
12424,60
12426,1
12427,28
12431,22
12436,3
12437,54
12438,36
12439,35
12441,32
12442,2
12447,42
12448,27
12449,31
12450,37
12451,36
12453,16
12454,14
12456,3
12459,3
12468,58
12469,12
12470,16
12472,32
12474,14
12475,21
12479,0
12481,28
12482,0
12484,55
12485,53
12486,58
12487,42
12489,24
12494,31
12495,10
12496,27
12497,26
12500,59
12501,41
12505,52
12508,54
12509,5
12510,45
12511,4
12512,32
12513,18
12517,13
12519,13
12522,59
12523,20
12524,16
12525,29
12528,30
12531,35
12532,19
12533,38
12534,49
12535,31
12538,40
12540,5
12542,5
12544,60
12546,54
12548,15
12549,58
12550,52
12552,10
12554,45
12556,37
12557,41
12558,52
12560,9
12564,21
12567,31
12568,43
12569,13
12570,21
12572,5
12574,51
12577,23
12579,50
12581,44
12583,18
12585,57
12588,26
12589,54
12596,11
12599,44
12600,22
12602,55
12603,57
12605,47
12606,4
12607,1
12608,53
12612,7
12614,26
12616,54
12617,48
12622,13
12624,33
12628,23
12630,1
12631,55
12632,45
12633,58
12634,23
12635,15
12638,1
12640,11
12641,48
12643,13
12645,40
12647,4
12648,3
12654,19
12655,7
12656,13
12657,1
12661,8
12662,58
12665,15
12670,8
12672,15
12673,56
12676,40
12677,20
12681,12
12684,31
12689,5
12690,36
12691,58
12695,15
12698,35
12699,4
12700,23
12702,20
12706,17
12709,49
12713,1
12718,31
12719,39
12720,51
12721,44
12722,2
12730,36
12732,4
12733,11
12734,51
12735,36
12736,25
12737,13
12738,50
12739,50
12742,50
12743,46
12744,8
12746,36
12751,29
12753,3
12754,14
12757,58
12758,11
12759,15
12761,5
12762,47
12763,8
12771,23
12772,12
12773,59
12780,10
12781,6
12782,32
12785,19
12786,16
12787,14
12789,60
12791,54
12792,7
12793,50
12798,16
12800,22
12801,19
12807,14
12808,14
12810,36
12812,13
12815,30
12820,34
12822,14
12825,20
12830,42
12831,12
12832,16
12835,15
12836,5
12837,36
12838,16
12839,57
12840,29
12843,48
12845,7
12848,55
12849,41
12851,41
12852,39
12853,34
12855,35
12856,45
12859,12
12861,19
12862,27
12863,24
12864,2
12866,13
12869,36
12871,30
12872,8
12874,13
12875,27
12878,25
12882,59
12884,37
12886,19
12887,14
12888,26
12890,46
12891,14
12893,26
12895,60
12898,34
12901,24
12902,16
12909,23
12915,11
12916,56
12917,4
12918,59
12920,46
12921,38
12924,32
12925,19
12926,29
12928,36
12931,33
12932,26
12934,8
12935,26
12938,25
12939,0
12940,17
12943,4
12946,37
12947,12
12948,34
12950,18
12951,9
12954,29
12955,12
12956,24
12957,33
12958,39
12959,24
12960,33
12961,49
12970,52
12971,45
12973,4
12975,0
12976,33
12977,31
12982,13
12984,11
12986,41
12987,20
12988,9
12989,54
12990,12
12991,32
12992,7
12993,59
12996,23
13003,45
13007,30
13010,44
13012,53
13014,51
13016,20
13018,3
13020,5
13022,34
13024,26
13027,37
13030,21
13033,20
13034,22
13036,18
13037,38
13039,14
13041,42
13043,57
13048,10
13053,30
13057,55
13058,50
13059,24
13062,11
13063,3
13064,19
13067,4
13069,5
13071,3
13072,7
13073,52
13074,10
13080,23
13083,29
13085,24
13086,3
13088,38
13090,21
13092,47
13093,51
13094,25
13095,60
13096,4
13103,33
13104,58
13105,39
13106,36
13110,18
13111,44
13112,7
13113,8
13114,48
13116,29
13121,51
13124,40
13129,3
13135,13
13136,39
13137,38
13140,2
13143,46
13144,36
13146,42
13147,28
13148,57
13152,55
13153,48
13154,24
13157,57
13159,55
13160,55
13162,41
13164,21
13165,12
13167,10
13168,10
13171,6
13172,10
13174,7
13176,40
13178,25
13179,51
13180,53
13181,20
13182,17
13183,26
13184,28
13185,2
13187,2
13188,3
13191,20
13192,41
13193,19
13198,6
13201,32
13202,30
13204,48
13205,15
13206,18
13207,38
13208,36
13211,11
13212,6
13216,35
13219,17
13221,20
13223,2
13226,20
13228,22
13231,46
13232,39
13234,2
13235,53
13237,21
13241,25
13242,16
13243,39
13244,8
13245,20
13247,41
13248,22
13258,46
13261,1
13262,39
13263,51
13264,8
13265,3
13266,43
13267,54
13270,13
13271,22
13272,52
13276,46
13277,49
13278,22
13283,12
13285,26
13286,24
13288,29
13289,18
13290,15
13291,17
13292,40
13293,20
13296,32
13298,33
13299,55
13301,28
13306,58
13309,13
13315,27
13316,22
13319,59
13320,15
13321,14
13322,6
13323,38
13324,46
13327,44
13329,36
13330,32
13331,1
13336,16
13337,35
13338,6
13340,31
13343,60
13345,28
13347,42
13349,11
13350,47
13351,8
13356,43
13357,17
13358,12
13359,6
13362,21
13364,53
13365,42
13366,33
13367,40
13368,39
13371,7
13372,55
13377,45
13380,8
13381,51
13389,59
13390,9
13391,1
13393,9
13394,48
13395,20
13397,41
13398,34
13403,20
13404,8
13405,47
13407,7
13408,20
13409,8
13410,6
13418,26
13419,53
13420,11
13423,11
13425,36
13427,5
13429,30
13430,26
13432,37
13434,17
13435,17
13437,36
13438,38
13440,22
13443,56
13444,9
13451,15
13452,58
13454,43
13455,39
13456,18
13458,4
13460,47
13461,13
13462,36
13464,40
13465,9
13467,20
13471,3
13472,10
13473,18
13474,59
13475,54
13476,15
13477,7
13478,0
13481,5
13482,34
13484,30
13486,11
13487,28
13488,37
13489,40
13490,12
13491,40
13493,6
13496,49
13498,20
13499,13
13500,30
13504,23
13506,2
13507,25
13510,57
13511,49
13512,10
13513,19
13515,13
13517,38
13518,43
13519,31
13522,5
13524,49
13525,25
13526,9
13527,11
13529,5
13530,25
13532,45
13535,59
13539,51
13540,14
13544,15
13545,43
13551,0
13552,34
13553,2
13554,1
13556,10
13557,9
13558,18
13560,24
13563,7
13568,11
13569,28
13570,26
13572,21
13574,38
13577,15
13579,23
13583,37
13584,27
13586,6
13588,16
13593,57
13594,10
13600,39
13604,40
13605,34
13606,56
13607,25
13608,10
13610,56
13611,27
13614,53
13615,14
13619,42
13620,21
13621,57
13625,13
13626,5
13628,12
13631,25
13634,42
13635,20
13637,26
13639,16
13642,4
13644,19
13645,38
13647,53
13648,29
13651,1
13653,29
13654,39
13657,24
13658,60
13662,9
13666,50
13670,43
13671,5
13672,54
13674,29
13678,13
13682,35
13688,9
13693,54
13695,16
13697,19
13698,30
13700,46
13702,38
13703,13
13704,24
13705,24
13708,52
13711,5
13714,31
13719,42
13720,52
13727,1
13729,49
13731,35
13735,29
13739,49
13740,43
13742,57
13743,4
13745,10
13746,26
13748,48
13753,35
13756,46
13758,18
13761,16
13763,4
13765,60
13766,40
13769,10
13771,20
13774,27
13778,5
13779,7
13780,1
13781,13
13785,34
13789,58
13792,32
13793,20
13795,28
13796,2
13798,42
13801,60
13802,16
13807,40
13808,33
13812,22
13814,7
13817,8
13819,14
13821,49
13824,52
13825,36
13831,20
13832,9
13836,4
13838,54
13841,13
13844,8
13846,35
13847,40
13848,33
13849,48
13850,49
13851,1
13853,44
13854,10
13860,10
13861,13
13863,54
13864,25
13868,48
13871,49
13872,20
13874,17
13875,46
13877,22
13881,2
13885,28
13888,15
13890,21
13891,32
13892,20
13893,40
13895,14
13896,44
13897,43
13899,26
13900,44
13901,4
13905,28
13908,36
13911,9
13915,41
13917,44
13921,43
13922,10
13923,9
13924,16
13925,41
13926,17
13932,8
13938,12
13943,2
13947,42
13950,54
13951,32
13952,44
13954,31
13957,15
13958,43
13961,31
13962,12
13965,13
13967,5
13969,14
13974,24
13975,9
13976,48
13978,40
13980,8
13983,46
13988,38
13991,34
13992,20
13993,6
13995,19
13997,36
13999,7
14002,50
14005,24
14009,0
14012,11
14014,11
14017,4
14018,18
14020,30
14021,28
14022,11
14023,27
14024,29
14026,34
14032,9
14033,13
14034,12
14036,34
14037,34
14041,60
14045,8
14046,0
14047,52
14050,16
14051,52
14058,2
14063,16
14065,53
14067,33
14070,23
14073,38
14074,59
14075,22
14076,30
14077,20
14081,11
14084,15
14088,51
14093,34
14095,39
14096,28
14098,1
14099,21
14100,56
14101,11
14103,16
14105,16
14108,16
14109,44
14117,20
14118,26
14120,6
14121,54
14122,36
14124,52
14126,57
14127,4
14130,4
14132,29
14136,16
14137,57
14138,53
14141,35
14144,21
14145,6
14147,30
14148,31
14150,14
14155,12
14157,31
14159,9
14161,7
14164,50
14165,55
14167,4
14177,15
14178,10
14179,8
14180,21
14184,41
14185,8
14186,12
14194,52
14195,21
14197,38
14199,58
14201,49
14203,33
14205,44
14206,58
14208,55
14209,3
14212,25
14214,21
14218,49
14219,25
14222,5
14224,6
14227,6
14228,41
14229,46
14230,7
14234,12
14235,22
14237,55
14238,3
14241,5
14242,15
14245,58
14246,7
14251,29
14254,48
14255,49
14256,14
14260,9
14261,46
14262,16
14263,11
14266,36
14267,11
14271,1
14272,25
14273,1
14274,15
14275,3
14277,57
14278,56
14280,4
14281,22
14282,22
14283,27
14284,6
14286,13
14287,11
14288,2
14289,19
14291,3
14293,23
14294,42
14296,23
14299,35
14302,58
14303,12
14304,33
14309,58
14310,32
14311,11
14312,13
14314,29
14316,25
14317,14
14321,28
14323,23
14327,28
14328,25
14329,24
14330,42
14338,21
14342,10
14346,45
14347,13
14349,46
14352,20
14353,1
14354,1
14355,27
14357,58
14360,58
14362,42
14366,16
14371,45
14372,17
14376,54
14378,45
14388,38
14393,26
14394,33
14395,38
14402,11
14406,49
14410,42
14411,41
14412,12
14414,36
14416,27
14419,44
14420,15
14423,42
14424,59
14428,22
14431,59
14432,18
14434,48
14435,46
14439,51
14441,35
14442,50
14446,29
14447,25
14448,57
14449,34
14450,51
14452,29
14455,53
14456,34
14457,59
14458,19
14460,15
14461,25
14463,49
14467,55
14469,8
14471,13
14474,54
14480,28
14481,38
14483,46
14486,44
14488,12
14492,54
14493,41
14494,5
14496,33
14498,44
14499,8
14500,33
14501,14
14503,11
14504,49
14505,38
14506,54
14507,38
14508,34
14513,13
14515,56
14517,5
14521,11
14523,18
14525,37
14526,28
14529,29
14530,41
14532,56
14535,44
14536,30
14540,16
14548,34
14549,5
14553,33
14555,34
14556,29
14560,1
14561,10
14562,11
14566,32
14567,15
14569,20
14574,6
14575,34
14577,30
14583,29
14584,35
14587,19
14594,57
14596,16
14600,0
14604,27
14605,26
14607,55
14608,56
14610,22
14611,7
14612,37
14619,31
14620,9
14621,43
14622,35
14624,29
14625,5
14626,49
14631,14
14633,44
14635,14
14636,23
14637,50
14638,50
14639,47
14640,27
14641,58
14642,13
14644,15
14646,35
14648,29
14650,40
14651,42
14655,10
14660,57
14662,13
14665,7
14666,46
14667,53
14668,6
14670,15
14672,21
14673,56
14676,35
14677,19
14678,9
14679,23
14680,35
14681,0
14683,3
14686,2
14688,2
14689,29
14690,24
14693,29
14694,34
14695,40
14696,21
14698,19
14699,51
14702,21
14703,19
14709,29
14711,22
14713,17
14714,54
14715,19
14716,40
14719,25
14721,16
14722,29
14723,56
14724,11
14728,5
14729,1
14730,15
14731,10
14732,15
14733,47
14734,1
14737,57
14738,12
14740,53
14742,26
14744,5
14745,43
14749,24
14753,28
14756,16
14758,58
14760,33
14765,10
14767,1
14769,38
14770,40
14771,49
14776,37
14777,3
14779,8
14783,33
14786,22
14787,4
14794,54
14795,12
14798,11
14802,8
14805,6
14806,24
14808,10
14810,9
14811,35
14814,27
14819,25
14821,36
14827,19
14828,35
14830,24
14831,54
14832,10
14833,38
14834,16
14835,21
14836,13
14837,21
14843,52
14844,33
14849,49
14850,39
14851,33
14857,2
14863,22
14864,43
14866,13
14867,37
14868,36
14869,53
14874,39
14877,24
14880,39
14881,6
14882,44
14886,49
14889,57
14890,27
14891,8
14892,31
14893,4
14895,11
14897,29
14899,8
14901,1
14905,7
14906,23
14911,53
14913,15
14915,34
14917,40
14918,36
14920,10
14921,4
14924,40
14927,54
14928,16
14931,54
14932,35
14937,17
14938,56
14939,17
14940,12
14941,11
14942,1
14943,41
14945,2
14949,46
14953,18
14957,20
14958,5
14959,1
14960,17
14963,27
14965,17
14966,33
14967,10
14968,38
14970,2
14974,21
14975,21
14976,20
14978,84
14983,35
14985,4
14986,56
14987,16
14988,34
14991,35
14995,4
14998,24
14999,24
15001,54
15005,56
15006,49
15009,55
15012,58
15015,3
15018,33
15022,25
15023,12
15024,50
15026,11
15031,24
15032,26
15038,5
15040,24
15042,25
15043,41
15044,28
15046,16
15049,18
15054,14
15055,23
15057,20
15062,4
15064,8
15069,33
15075,17
15076,27
15079,18
15085,57
15088,23
15090,24
15091,43
15092,22
15096,58
15101,31
15102,13
15104,55
15105,10
15108,33
15112,22
15113,37
15115,17
15118,42
15122,17
15124,30
15125,23
15126,45
15127,19
15129,40
15131,16
15132,54
15135,48
15136,56
15138,27
15140,40
15142,9
15144,24
15148,5
15149,24
15150,8
15151,25
15154,57
15156,7
15158,14
15159,15
15161,39
15165,31
15172,53
15175,13
15179,2
15181,40
15182,60
15183,1
15185,2
15186,44
15188,33
15190,54
15192,53
15196,5
15197,21
15201,6
15202,15
15203,46
15204,18
15207,47
15208,37
15211,57
15214,29
15218,60
15220,60
15221,30
15222,27
15223,1
15227,1
15228,4
15229,7
15230,26
15234,10
15238,26
15247,10
15248,53
15249,36
15252,12
15254,2
15256,52
15258,18
15260,43
15263,60
15264,7
15265,5
15266,40
15269,12
15270,38
15273,47
15274,13
15277,28
15279,35
15280,7
15281,0
15282,33
15285,10
15289,35
15290,35
15291,3
15293,11
15297,17
15301,57
15305,30
15307,50
15308,18
15309,6
15311,15
15313,37
15315,45
15318,59
15324,22
15326,39
15331,50
15332,23
15333,11
15334,17
15337,30
15343,13
15345,35
15348,11
15352,39
15355,41
15357,32
15358,4
15359,54
15360,4
15361,25
15362,18
15363,10
15369,42
15370,30
15372,15
15380,17
15381,17
15382,41
15383,17
15384,13
15386,46
15387,36
15390,22
15394,45
15397,27
15398,59
15400,29
15401,4
15405,60
15407,56
15409,1
15412,45
15417,7
15419,52
15420,17
15421,53
15422,31
15423,4
15424,21
15427,3
15428,25
15433,13
15435,3
15436,28
15446,48
15447,43
15448,0
15453,18
15457,5
15459,19
15461,3
15464,45
15468,1
15469,18
15472,6
15475,60
15476,46
15479,40
15481,1
15482,48
15485,18
15487,18
15490,19
15491,26
15494,35
15498,60
15501,43
15503,29
15507,41
15510,19
15512,49
15518,5
15525,1
15526,9
15527,17
15528,46
15529,47
15530,58
15533,16
15535,30
15539,2
15542,9
15544,6
15545,30
15547,36
15548,7
15549,50
15551,27
15553,25
15561,24
15562,21
15563,55
15566,50
15568,9
15571,35
15575,28
15579,39
15581,1
15582,57
15586,36
15587,50
15588,54
15597,34
15598,53
15602,48
15603,46
15604,14
15607,21
15608,23
15610,16
15611,36
15614,20
15615,51
15618,2
15621,2
15622,11
15624,45
15628,3
15631,23
15632,19
15638,20
15642,29
15645,30
15649,45
15652,7
15653,21
15654,54
15655,22
15659,9
15660,35
15661,6
15662,10
15664,17
15668,36
15669,26
15674,15
15675,5
15676,43
15678,13
15679,24
15686,55
15688,25
15691,44
15694,8
15695,45
15697,22
15705,47
15707,45
15708,54
15710,47
15711,4
15713,1
15714,30
15715,29
15718,33
15720,23
15721,59
15724,26
15726,32
15727,55
15728,23
15729,27
15733,24
15734,42
15735,27
15736,7
15739,2
15742,27
15744,36
15746,15
15747,35
15748,27
15750,12
15759,55
15763,26
15768,32
15769,35
15775,59
15778,1
15779,42
15784,38
15790,47
15792,1
15793,19
15795,14
15798,31
15799,54
15813,17
15815,14
15816,3
15818,7
15821,9
15824,28
15827,1
15832,2
15833,50
15834,45
15840,15
15843,11
15844,4
15846,36
15849,6
15853,53
15858,42
15861,58
15864,23
15867,15
15868,58
15871,28
15879,28
15880,59
15882,26
15883,49
15885,45
15886,16
15889,16
15892,22
15894,49
15900,51
15902,7
15904,12
15911,14
15913,34
15914,41
15915,8
15919,34
15920,48
15924,49
15926,5
15932,41
15933,4
15934,9
15937,27
15938,52
15939,2
15943,39
15948,51
15949,6
15950,38
15951,47
15954,14
15956,16
15958,29
15961,19
15962,4
15963,3
15964,0
15965,52
15967,47
15971,7
15972,9
15976,33
15978,35
15981,12
15982,49
15987,12
15988,10
15990,37
15993,20
15995,53
15997,9
15998,32
16000,1
16002,5
16005,8
16007,12
16008,44
16011,43
16012,40
16020,23
16022,16
16026,2
16030,35
16031,4
16034,19
16035,50
16042,27
16045,50
16047,2
16049,4
16050,35
16055,47
16057,31
16062,39
16066,52
16068,27
16069,57
16070,26
16071,35
16077,57
16081,49
16083,42
16084,26
16091,55
16094,27
16096,54
16097,47
16098,26
16099,13
16101,41
16102,36
16106,44
16109,25
16110,40
16112,3
16117,10
16121,26
16122,7
16124,14
16126,26
16131,47
16134,6
16135,4
16138,36
16144,54
16145,19
16146,36
16148,19
16150,20
16151,18
16153,14
16157,50
16160,26
16163,40
16165,25
16169,41
16174,41
16178,14
16180,36
16182,12
16183,14
16184,2
16187,3
16189,4
16190,44
16191,55
16196,21
16197,50
16198,5
16202,24
16203,19
16206,28
16211,6
16212,10
16213,51
16214,51
16217,59
16218,2
16220,33
16223,51
16226,0
16228,3
16233,13
16235,29
16237,56
16238,30
16239,54
16240,3
16242,60
16245,27
16246,50
16247,6
16248,33
16249,7
16254,26
16256,18
16257,3
16258,13
16260,9
16261,22
16263,44
16264,50
16268,42
16273,43
16274,19
16276,42
16280,26
16281,2
16283,37
16284,58
16285,7
16287,16
16292,13
16294,9
16295,34
16296,32
16299,46
16300,60
16305,26
16312,8
16316,8
16317,3
16318,17
16324,8
16325,32
16330,53
16333,59
16334,38
16336,1
16340,11
16341,27
16342,33
16349,5
16350,33
16352,3
16353,31
16356,32
16357,8
16360,33
16365,60
16366,28
16369,48
16370,53
16375,36
16376,35
16378,3
16379,51
16385,33
16387,13
16389,43
16393,50
16396,5
16397,41
16398,7
16399,5
16400,37
16402,14
16419,5
16423,28
16427,29
16429,9
16432,11
16434,14
16436,23
16438,36
16439,8
16443,36
16446,49
16450,47
16451,40
16453,23
16458,51
16461,57
16462,1
16465,47
16466,3
16472,8
16476,54
16477,1
16478,50
16480,12
16483,51
16484,41
16486,16
16488,27
16489,19
16493,6
16495,49
16497,10
16502,11
16503,47
16505,42
16507,41
16508,45
16510,12
16516,2
16517,39
16524,47
16525,18
16526,22
16528,28
16529,12
16531,26
16533,21
16535,29
16536,30
16537,11
16540,58
16541,9
16545,6
16547,19
16549,52
16555,53
16556,47
16557,32
16560,12
16563,10
16567,2
16573,12
16575,39
16579,17
16581,40
16583,26
16585,27
16586,15
16587,33
16589,21
16592,18
16593,28
16596,1
16598,35
16604,48
16605,38
16609,14
16611,29
16612,46
16614,25
16615,45
16617,53
16622,47
16623,19
16624,21
16625,12
16626,45
16629,11
16633,17
16642,50
16643,20
16647,12
16650,39
16651,22
16652,29
16654,29
16655,1
16657,26
16661,42
16665,51
16667,1
16669,20
16672,32
16673,11
16675,29
16676,42
16679,5
16680,27
16681,26
16682,55
16684,3
16685,15
16686,49
16689,28
16697,32
16698,9
16700,53
16702,29
16703,26
16706,52
16707,31
16710,48
16716,1
16718,29
16724,10
16727,1
16729,41
16730,34
16733,58
16734,34
16736,6
16741,59
16743,44
16746,12
16748,46
16749,34
16750,40
16751,17
16754,38
16756,3
16757,21
16762,15
16763,51
16765,0
16768,42
16772,41
16773,39
16774,10
16776,2
16781,59
16782,29
16788,8
16792,51
16793,16
16799,17
16803,30
16808,26
16815,14
16816,19
16817,23
16819,54
16820,52
16822,28
16825,48
16827,37
16828,18
16830,3
16831,22
16832,37
16833,22
16834,11
16837,27
16838,4
16840,6
16843,18
16844,32
16845,59
16848,41
16852,5
16853,45
16858,45
16859,16
16862,5
16864,23
16865,21
16867,16
16872,4
16874,5
16875,17
16877,38
16879,4
16881,17
16882,2
16883,8
16884,9
16886,57
16888,43
16890,21
16891,7
16892,39
16893,59
16895,0
16897,8
16901,18
16902,5
16904,41
16905,59
16906,14
16909,28
16913,36
16916,6
16917,1
16920,33
16921,55
16922,42
16927,11
16929,12
16933,20
16934,38
16935,15
16936,47
16937,49
16938,8
16940,45
16941,19
16942,36
16943,35
16948,7
16951,3
16954,1
16958,28
16961,35
16972,25
16978,0
16979,31
16981,30
16985,43
16986,12
16987,28
16990,33
16991,14
16992,54
16993,4
16994,33
16996,52
17000,41
17001,23
17002,40
17004,32
17005,10
17006,12
17007,41
17009,4
17010,1
17011,14
17012,5
17015,29
17016,48
17020,39
17024,29
17029,41
17034,33
17035,3
17036,34
17041,20
17042,50
17044,5
17045,57
17046,48
17047,14
17048,37
17049,7
17051,1
17053,23
17054,42
17059,20
17060,26
17062,58
17064,25
17067,27
17074,11
17075,60
17076,50
17079,43
17081,33
17082,14
17086,13
17088,13
17089,46
17091,60
17092,29
17097,0
17098,47
17104,11
17111,42
17115,21
17120,24
17122,51
17124,32
17127,45
17128,49
17129,2
17136,49
17138,27
17140,11
17141,45
17144,56
17152,57
17154,24
17158,28
17163,21
17165,49
17169,60
17170,58
17175,60
17177,7
17180,57
17182,1
17187,8
17188,38
17189,22
17192,7
17194,18
17198,50
17207,27
17211,33
17213,53
17214,18
17218,31
17220,25
17221,3
17226,55
17230,28
17231,7
17232,29
17236,30
17239,25
17240,17
17245,8
17247,55
17250,8
17251,50
17254,24
17256,17
17259,16
17262,49
17265,10
17266,22
17268,24
17270,21
17271,26
17272,49
17281,18
17282,42
17285,54
17287,4
17289,11
17294,38
17295,18
17297,4
17298,16
17299,40
17311,49
17317,14
17320,24
17321,14
17325,55
17327,36
17328,14
17330,32
17331,13
17335,36
17337,50
17342,33
17350,22
17353,57
17354,5
17358,58
17361,9
17364,47
17372,54
17379,39
17381,44
17382,22
17383,17
17384,16
17385,31
17389,60
17390,46
17392,57
17394,44
17398,14
17406,34
17410,46
17416,27
17419,0
17421,36
17423,14
17424,0
17429,18
17434,59
17435,5
17436,18
17437,29
17440,30
17443,37
17444,34
17445,30
17446,5
17449,2
17451,16
17454,26
17455,26
17458,0
17459,42
17461,40
17462,56
17464,57
17467,20
17468,5
17471,46
17474,30
17476,3
17479,25
17480,41
17483,17
17484,57
17485,42
17486,37
17493,36
17495,59
17496,58
17498,56
17499,47
17500,18
17501,29
17504,503
17505,43
17507,60
17508,13
17511,39
17514,55
17520,51
17521,40
17541,9
17542,53
17547,55
17549,35
17559,12
17561,58
17568,14
17572,59
17575,49
17576,8
17577,33
17585,11
17588,51
17590,10
17601,49
17602,8
17603,58
17604,46
17606,15
17614,36
17621,56
17627,49
17629,24
17638,51
17639,19
17640,26
17646,18
17647,18
17649,21
17653,41
17656,30
17664,20
17667,29
17669,40
17670,22
17674,46
17678,44
17680,16
17682,7
17684,32
17688,16
17689,11
17690,28
17691,33
17692,40
17699,14
17703,41
17706,46
17707,15
17708,22
17709,1
17710,12
17711,8
17713,23
17716,30
17718,41
17719,25
17723,57
17725,34
17726,11
17729,32
17730,52
17735,43
17740,16
17741,33
17742,21
17745,19
17748,36
17749,45
17750,6
17752,8
17753,52
17754,30
17758,3
17759,32
17760,47
17761,35
17762,45
17763,12
17764,47
17765,25
17771,16
17774,23
17776,12
17778,28
17781,45
17783,43
17784,52
17786,60
17789,32
17791,49
17792,31
17794,33
17795,59
17800,36
17804,9
17808,56
17810,1
17816,54
17823,34
17825,28
17828,17
17829,53
17832,41
17833,34
17834,58
17835,12
17836,44
17837,41
17839,56
17840,13
17843,34
17844,35
17845,47
17846,32
17847,13
17849,37
17851,21
17853,4
17857,22
17860,37
17861,7
17862,10
17867,8
17869,2
17871,3
17875,5
17876,15
17879,38
17883,7
17885,29
17886,13
17887,38
17892,11
17895,33
17899,43
17901,19
17904,23
17905,51
17908,55
17909,10
17910,17
17912,21
17916,5
17918,13
17920,48
17921,24
17926,32
17928,30
17929,14
17931,36
17932,3
17933,8
17936,21
17937,11
17938,23
17941,24
17942,10
17943,5
17946,29
17947,45
17949,23
17951,21
17953,39
17955,15
17957,5
17959,26
17961,57
17967,51
17970,28
17971,56
17972,25
17973,56
17974,49
17976,55
17979,12
17982,45
17986,30
17988,35
17989,19
17991,27
17992,6
17994,46
17995,26
17998,46
18003,29
18006,26
18009,3
18012,28
18013,17
18015,35
18016,10
18018,17
18027,54
18028,29
18029,59
18030,1
18031,59
18032,12
18033,14
18034,51
18036,3
18037,34
18039,25
18040,15
18041,55
18051,4
18054,33
18055,26
18057,56
18059,54
18060,12
18062,48
18064,12
18066,44
18067,44
18068,6
18070,41
18071,34
18073,46
18076,14
18078,16
18081,37
18082,41
18083,32
18085,60
18086,39
18087,38
18092,43
18093,31
18096,8
18097,46
18101,55
18103,49
18105,27
18109,14
18111,24
18112,35
18113,19
18127,10
18131,57
18132,43
18134,3
18139,30
18141,26
18144,41
18145,8
18146,24
18149,59
18152,41
18156,27
18158,4
18161,32
18166,37
18167,8
18168,59
18169,4
18170,14
18179,55
18183,12
18185,23
18186,52
18189,9
18191,1
18192,60
18194,17
18195,58
18197,40
18199,46
18200,7
18202,22
18204,45
18206,35
18207,60
18215,41
18216,21
18219,51
18222,37
18225,26
18233,23
18238,2
18242,22
18244,43
18245,50
18248,8
18250,36
18254,20
18256,10
18257,14
18258,10
18261,58
18264,45
18270,40
18274,32
18275,37
18276,59
18277,14
18282,26
18283,1
18284,20
18286,11
18288,47
18289,27
18292,16
18293,21
18294,29
18296,59
18297,40
18298,28
18299,32
18301,10
18303,9
18306,21
18307,9
18309,27
18312,5
18313,40
18314,55
18316,43
18319,20
18321,41
18322,16
18323,21
18324,44
18325,35
18326,57
18328,34
18331,10
18332,3
18335,26
18338,26
18339,39
18341,46
18342,11
18344,14
18346,4
18348,7
18349,14
18350,36
18352,55
18354,27
18355,26
18358,9
18361,38
18362,22
18366,10
18369,31
